ArrayNumber,ArraySize,Time,Iterations
1,6152,795400,238244
2,4389,330900,98679
3,3894,379400,83378
4,9155,708600,247932
5,412,18400,5391
6,9531,653900,245699
7,1199,57200,20041
8,9557,648400,243917
9,391,16600,5909
10,3551,210100,71352
11,6849,462600,174338
12,7273,481500,175133
13,7832,524500,189288
14,4914,314000,117921
15,1698,91900,32440
16,9699,705100,250996
17,1989,109000,37300
18,1457,75800,26136
19,340,13500,4282
20,9380,638800,245133
21,8132,568300,201756
22,2650,150300,52935
23,4332,266500,94295
24,9906,686800,249481
25,1780,93000,31727
26,7208,489300,194559
27,1586,94200,29607
28,7647,544300,188154
29,1521,82500,26289
30,3387,205200,70355
31,3582,213600,74471
32,8828,590800,216328
33,7465,493500,176506
34,6736,439800,162849
35,7897,530200,185132
36,1810,97000,34736
37,7705,520000,207827
38,3056,185300,62612
39,1722,91600,32250
40,6541,429100,156056
41,592,26000,8792
42,2123,117600,44409
43,2721,159100,56985
44,6297,404400,155817
45,6379,426300,157629
46,3184,187800,68226
47,5956,388300,145951
48,192,7200,2305
49,2286,126200,44405
50,9430,636600,234094
51,765,35400,11172
52,9608,677900,252939
53,9846,690200,253107
54,2048,141400,64937
55,9636,671500,255423
56,3501,203400,71371
57,4848,305000,108175
58,8264,625900,235113
59,1131,55600,18854
60,5497,355200,126767
61,298,10200,3530
62,6536,426500,160394
63,1583,82700,30164
64,4388,268400,98210
65,7590,505800,182577
66,5649,383600,153406
67,403,16700,5562
68,3740,280100,75712
69,822,49900,12606
70,782,54200,13134
71,9939,961500,262949
72,9771,906600,258683
73,9279,746400,258062
74,5457,350500,126087
75,8306,583600,228170
76,3328,221100,91850
77,9417,643800,243035
78,5866,383400,133406
79,3880,230600,80776
80,9053,619100,230655
81,1806,98700,36910
82,8611,589400,219869
83,1358,68200,23517
84,2217,129000,44951
85,1395,70600,23553
86,9740,689500,285109
87,1849,101400,34165
88,9162,624700,236653
89,5668,364300,141434
90,1635,84900,29346
91,7155,488900,174396
92,3050,183000,63676
93,3351,194200,69199
94,5266,337300,124904
95,1178,57500,20127
96,4633,299300,117436
97,8004,544600,197212
98,6404,434200,174316
99,2533,140600,49448
100,2014,107700,36096
